duration,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
59005696.0,16.0,4.0,11564793.0,11548477.0,398686.986486486,421345.328571429,1421158.88511806,1438391.62173464,4.9147797528,2248.3592092533,4.0,11514382.0,204171.958477509,1017107.82906928,1443143.0,4180902.14285714,14269600.0,3867463.0537831,1065834.0,3306945.57142857,11514382.0,3435845.4933996,CHAT
59844887.0,18.0,4.0,11379406.0,11379337.0,358352.22754491,418142.153846154,1317980.72265144,1400452.15803369,5.2134779701,1909.0352697967,4.0,11242048.0,192427.289389068,963435.019666705,1363299.0,4208649.28571429,14127351.0,3919367.73249442,1079974.0,3148508.35714286,11242048.0,3460254.13750027,CHAT
30077549.0,20.0,5.0,13099598.0,13090662.0,489989.442622951,578414.403846154,1841338.88890499,1976847.70558866,3.8234498429,1401.0450120121,5.0,13047812.0,263838.149122807,1353099.85664605,2757283.0,5908297.8,13243650.0,4307438.95146553,1297996.0,4754863.6,13047812.0,4995762.64894241,CHAT
0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,CHAT
58316400.0,5.0,16.0,5157119.0,5160313.0,269983.333333333,246321.372881356,687925.5526311,681666.547279864,7.7851170511,3552.5169592087,5.0,5107187.0,128733.774834437,487436.530161774,1383264.0,2975203.10526316,7347237.0,1586753.20655032,1032667.0,2128951.52631579,5107187.0,1177280.94975427,CHAT
56412073.0,19.0,4.0,5049123.0,4860293.0,232895.747933884,274972.307317073,617922.467366586,631174.056996713,7.9592891401,2844.1429550019,4.0,4860293.0,125919.805803571,444854.753053981,1523258.0,4003564.57142857,8901938.0,2453149.81312228,1048217.0,2197022.5,4860293.0,1207405.55432211,CHAT
49039659.0,59.0,68.0,4334113.0,4334821.0,1089240.0,1139858.90697674,1330338.66826371,1337940.04434705,1.835249303,617.0515989926,59.0,4309785.0,551007.404494382,1076471.14003084,1803634.0,3495113.71428571,5766698.0,1284211.11113411,1170340.0,2827291.92857143,4309785.0,943196.465228416,CHAT
59707465.0,42.0,36.0,15473429.0,15449221.0,877303.602941177,1269827.44680851,2851031.40543566,3367636.18843372,1.9595539687,1090.4331644293,36.0,15423450.0,514719.525862069,2211777.96934513,1866042.0,7437813.0,15627050.0,4924564.42396548,1661066.0,7272933.375,15423450.0,4928474.13468693,CHAT
57496434.0,54.0,70.0,5026686.0,5027225.0,1795976.5625,1853918.03225806,1764978.54391136,1758118.45823977,1.1305048936,341.7603255186,54.0,5002694.0,898381.78125,1518685.46085875,1273533.0,2873562.5,5197459.0,1419278.33600472,1249112.0,2812554.5,5002694.0,1426006.99198146,CHAT
48845491.0,42.0,17.0,16031950.0,16006438.0,1038191.29787234,1479396.84848485,3238820.27627247,3793709.87115098,1.6787629384,882.926942018,17.0,15980929.0,603030.75308642,2500502.90817306,3823292.0,8107636.5,16183413.0,5547678.08482476,3755601.0,7954702.66666667,15980929.0,5475294.04601536,CHAT
56090253.0,56.0,73.0,9011146.0,8998405.0,2156333.96153846,2242610.68,2201824.31854785,2198135.14662168,0.944905704,299.0002558912,56.0,8986511.0,1078658.71153846,1872583.35674252,1883522.0,3737645.53333333,9011146.0,1834759.45896308,1858536.0,3583842.26666667,8986511.0,1805195.4573717,CHAT
52374803.0,41.0,22.0,5490034.0,5516369.0,447647.888888889,587917.97752809,1170320.86267849,1327296.24635577,3.9713753195,1420.4922164576,22.0,5490034.0,253018.371980676,904627.840046454,1551540.0,4274463.0,6022223.0,1438189.48335901,1336874.0,3685068.16666667,5490034.0,1218798.79041481,CHAT
59976649.0,69.0,68.0,15069009.0,14975894.0,1874270.28125,1977987.93333333,2650131.51633515,2690492.883982,1.0670819572,320.8415328439,68.0,14975894.0,952010.301587302,2079918.38292512,1735479.0,3296749.5,15001076.0,2960149.87925605,1294874.0,3046703.88888889,14975894.0,3018888.37218046,CHAT
56130606.0,42.0,35.0,9067535.0,9043838.0,825450.088235294,1078464.32692308,2191985.48607398,2464061.38667012,2.1735022779,844.530344105,35.0,9016390.0,463889.305785124,1682793.36823293,1144929.0,5599599.9,9219178.0,2865694.89282497,1038798.0,5405385.2,9016390.0,2858317.72328905,CHAT
59089030.0,45.0,91.0,5006538.0,5006481.0,1586939.83783784,1641361.94444444,1844776.93387018,1843302.07218365,1.2692711321,393.5078981665,45.0,4981821.0,798500.405405405,1507549.50542065,1390632.0,3472419.35294118,5330927.0,1466073.4450984,1364794.0,3256888.82352941,4981821.0,1405733.25875505,CHAT
56584922.0,65.0,40.0,4872034.0,4898194.0,416065.602941176,554256.725490196,1037285.29455819,1180735.58314261,4.2414125798,1561.2462980863,40.0,4872034.0,236756.9958159,805894.403169881,2355818.0,4342275.61538462,5734175.0,1231523.33521375,2223121.0,3430925.61538462,4872034.0,876138.466452272,CHAT
51529123.0,40.0,67.0,12330324.0,12306202.0,1471529.45714286,1560753.57575758,2536129.69535658,2582651.53259967,1.3584551012,435.8506159711,40.0,12305636.0,746798.884057971,1931954.24743388,1216256.0,3941145.61538462,12400123.0,3053471.91706875,1112194.0,3727556.30769231,12305636.0,3034403.49620344,CHAT
