duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
117202678.0,17.0,4.0,35188437.0,35149142.0,474297.570850202,557867.233333333,2502257.05966366,2693575.56221566,3.9162927659,1411.6400992134,4.0,35137650.0,255901.043668122,1839547.85318767,1363299.0,5561679.57142857,35334176.0,7589073.02860201,1079974.0,4426667.33333333,35137650.0,7605741.40917507,CHAT
119579137.0,16.0,4.0,35208950.0,35022877.0,510804.294871795,541003.561085973,2582051.85753879,2634447.46562297,3.8217368971,1731.1046491329,4.0,35022877.0,262234.949561403,1849452.2845032,1443143.0,4972741.95833333,35280803.0,7131588.38240225,1065834.0,4185795.125,35022877.0,7108954.4634386,CHAT
112842635.0,80136.0,34443.0,19155808.0,19156077.0,4030094.10714286,4022135.35714286,5425283.13804816,5458596.65014951,0.5139901244,53.1625302794,48.0,18984465.0,1979695.35087719,4237096.47314203,1488138.0,8666236.53846154,20096341.0,5322188.69466609,1316693.0,8323154.84615385,18984465.0,5221815.97192074,CHAT
112410081.0,89928.0,35564.0,21349694.0,21127586.0,3304092.44117647,3206832.57142857,4466429.23013318,4422333.09505621,0.6316159491,56.889915416,70.0,21127586.0,1605858.3,3456926.31308808,1423241.0,6225956.72222222,21298847.0,4760100.50381428,1252013.0,5859591.5,21127586.0,4758397.18724127,CHAT
118085039.0,90485.0,32984.0,27731237.0,27726527.0,3373858.25714286,3274006.58333333,5101779.78450283,5068459.89906569,0.618198551,57.5178706593,56.0,27555023.0,1640069.98611111,3875755.51773699,1256892.0,5894963.9,27731237.0,5793469.61292375,1039061.0,5551226.5,27555023.0,5807780.4345,CHAT
39216986.0,91244.0,40988.0,8547669.0,8548428.0,1953845.9,1960849.3,2416649.64822426,2434833.36673614,1.070964505,112.9357569702,55.0,8376709.0,956511.853658537,1901237.57425832,1391576.0,3886400.4,8547669.0,2265674.34631613,1204975.0,3628307.9,8376709.0,2347550.11407699,CHAT
58316400.0,5.0,16.0,5157119.0,5160313.0,269983.333333333,246321.372881356,687925.5526311,681666.547279864,7.7851170511,3552.5169592087,5.0,5107187.0,128733.774834437,487436.530161774,1383264.0,2975203.10526316,7347237.0,1586753.20655032,1032667.0,2128951.52631579,5107187.0,1177280.94975427,CHAT
56412073.0,19.0,4.0,5049123.0,4860293.0,232895.747933884,274972.307317073,617922.467366586,631174.056996713,7.9592891401,2844.1429550019,4.0,4860293.0,125919.805803571,444854.753053981,1523258.0,4003564.57142857,8901938.0,2453149.81312228,1048217.0,2197022.5,4860293.0,1207405.55432211,CHAT
114066126.0,88358.0,32995.0,20649847.0,20651988.0,4387158.69230769,4378477.65384615,5449651.46444928,5474796.38167421,0.473409608,41.537309683,40.0,20587091.0,2152191.05660377,4336650.47564649,2138912.0,8087556.42857143,20651988.0,5359968.88410887,1317523.0,7771301.85714286,20587091.0,5377731.38578309,CHAT
117414079.0,47387.0,31524.0,19195526.0,19188991.0,4048761.34482759,3906196.0,5425917.1034718,5367973.68448124,0.5195288378,55.0445062044,60.0,19138884.0,1956901.31666667,4212004.84174547,1197560.0,8296330.21428571,20095556.0,5450486.19232187,1144850.0,8043930.92857143,19138884.0,5327747.80403287,CHAT
114013414.0,91429.0,36280.0,20897232.0,21123913.0,3557641.84375,3557621.0,4626376.88707156,4670693.24252468,0.5788792536,52.8709718314,48.0,20897232.0,1754052.52307692,3649552.2474031,1418351.0,6696737.5882353,20954533.0,4749461.90391395,1360283.0,6361249.35294118,20897232.0,4761280.20164626,CHAT
111221793.0,84850.0,30903.0,31687422.0,31680405.0,3087147.91666667,3084763.38888889,5707493.59574038,5714217.29916929,0.665337233,65.7604935392,50.0,31629424.0,1523586.20547945,4236679.11893378,1299479.0,6522517.17647059,31680405.0,7046379.87394396,1016795.0,6181058.58823529,31629424.0,7118353.66402548,CHAT
39444689.0,81055.0,32333.0,8588631.0,8580426.0,1714986.47826087,1634057.41666667,2346903.99534143,2328816.66856732,1.2422458192,130.8160903487,50.0,8527892.0,821764.354166667,1776084.21664723,1421687.0,3924333.9,8580426.0,2203870.99139778,1082628.0,3581031.1,8527892.0,2394674.93229494,CHAT
119283126.0,54.0,68.0,12770892.0,12772008.0,1528947.97435897,1590098.66666667,2012313.88263475,2026254.77610707,1.2994293929,418.41626451,54.0,12747033.0,774565.753246753,1608893.31601617,1273533.0,3407369.77142857,12855100.0,2133615.00568908,1170340.0,3102291.71428571,12747033.0,2071942.91600247,CHAT
118282270.0,42.0,17.0,16031950.0,16006438.0,1019239.39655172,1459959.19753086,3100181.68438947,3627586.46341334,1.682416139,915.0483838364,17.0,15980929.0,597385.202020202,2412913.85372686,1866042.0,7872173.2,16183413.0,4853108.54665725,1661066.0,7709399.8,15980929.0,4824700.90413128,CHAT
119992815.0,56.0,68.0,15069009.0,14975894.0,2068423.17241379,2142282.66071429,2458399.76357757,2459888.73271891,0.9667245493,296.3510773541,56.0,14975894.0,1043415.7826087,2008006.65241125,1735479.0,3528486.58823529,15001076.0,2454327.28745833,1294874.0,3327503.05882353,14975894.0,2488897.90065522,CHAT
117368856.0,41.0,22.0,9067535.0,9043838.0,631015.35483871,826184.161971831,1732173.6974429,1954166.6091936,2.8116487733,1037.7710420897,22.0,9016390.0,356744.243161094,1334778.50730354,1144929.0,5097141.26086957,9944694.0,2438396.94461588,1038798.0,4658179.0,9016390.0,2378891.86964813,CHAT
113517142.0,40.0,67.0,12330324.0,12306202.0,1533669.59459459,1621331.37142857,2172869.10853658,2200570.66518069,1.2861493641,406.6786670862,40.0,12305636.0,782876.84137931,1717505.70705596,1216256.0,3652352.0,12400123.0,2224285.59903932,1112194.0,3441947.90322581,12305636.0,2191442.80310663,CHAT
119351921.0,40.0,11.0,15728685.0,15704200.0,503594.603375527,677849.732954545,1617741.0822289,1856585.72089382,3.4771120274,1349.2200096218,11.0,15678577.0,288289.664251208,1245403.71484641,1132637.0,4769219.8,16350400.0,3321049.20793304,1000505.0,4055402.0,15678577.0,3269703.68422978,CHAT
235363.0,25355.0,163.0,65893.0,91405.0,34043.4,35016.8333333333,17832.4341874574,36511.0127436458,55.2338302962,7091.1740587943,73.0,65893.0,19613.5833333333,24413.9795681913,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,CHAT
117553329.0,46.0,66.0,4999500.0,4999378.0,1068439.09090909,1152242.34313726,1380737.77384449,1399766.97658332,1.8204503592,587.5375932569,46.0,4974339.0,551893.563380282,1114310.06242685,1029741.0,2866543.90243902,5605216.0,1230755.71907778,1004480.0,2547726.48780488,4974339.0,1180808.01690651,CHAT
