duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
13984772.0,13919756.0,13959212.0,2.0,14.0,5379801.0,5339900.0,99426.8285714286,58652.1512605042,27.1724129646,17973.2640617952,2.0,5314406.0,36899.1345646438,372352.529719081,5441654.0,6771591.5,8101529.0,1880815.6496083,4819591.0,5066998.5,5314406.0,349887.041931392,VPN-BROWSING
11918514.0,11788396.0,11787325.0,4.0,19.0,2514227.0,2517300.0,84202.8285714286,61713.7434554974,27.9397247006,13419.2064547644,4.0,2384854.0,35899.1385542169,170425.832093061,3836965.0,5797173.0,7757381.0,2772152.73867206,1618850.0,2001852.0,2384854.0,541646.622815097,VPN-BROWSING
11869689.0,11844521.0,11844095.0,1.0,6.0,4974101.0,4974127.0,66542.2528089888,51273.1385281385,34.6260125265,12553.825125494,1.0,4948747.0,28950.4609756098,289145.398678478,5132931.0,5841543.5,6550156.0,1002129.40796661,3112635.0,4030691.0,4948747.0,1298327.24621761,VPN-BROWSING
14780134.0,14538180.0,14666993.0,4.0,0.0,954192.0,708070.0,242303.0,120221.254098361,12.4491428833,6420.8484172065,0.0,707989.0,80765.7595628415,170072.471709266,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
14960333.0,13378879.0,14960333.0,3.0,0.0,1115218.0,1477305.0,226760.661016949,127866.094017094,11.8981308772,5809.1621356289,0.0,1348247.0,84521.6553672316,189038.624742571,1348247.0,1348247.0,1348247.0,0.0,1348247.0,1348247.0,1348247.0,0.0,VPN-BROWSING
14965088.0,14911805.0,14964384.0,3.0,0.0,1051922.0,821744.0,196207.960526316,129003.310344828,12.9635054602,6940.4870856757,0.0,821744.0,77539.3160621762,154811.69738802,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
14573708.0,14333378.0,14573708.0,3.0,0.0,1474974.0,1521001.0,199074.694444444,145737.08,11.9393087881,6606.2802959961,0.0,1474888.0,84241.0867052023,215007.839903852,4240162.0,4240162.0,4240162.0,0.0,1474888.0,1474888.0,1474888.0,0.0,VPN-BROWSING
14672885.0,14384854.0,14672885.0,4.0,0.0,2010729.0,1765560.0,293568.448979592,163032.055555556,9.6095621277,5342.8483900746,0.0,1765560.0,104806.321428571,247062.093519332,8092463.0,8092463.0,8092463.0,0.0,1765560.0,1765560.0,1765560.0,0.0,VPN-BROWSING
14523355.0,14261317.0,14487143.0,3.0,0.0,1251130.0,986763.0,192720.5,146334.777777778,12.0495574198,7081.2150498284,0.0,986763.0,83467.5574712644,167823.457557812,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,VPN-BROWSING
14938878.0,14800417.0,14938878.0,26.0,18.0,1201845.0,1201710.0,94874.467948718,65235.2751091703,25.9055599758,5432.5364997291,9.0,1201421.0,38701.7564766839,107484.088361217,1348395.0,1348395.0,1348395.0,0.0,1201421.0,1201421.0,1201421.0,0.0,VPN-BROWSING
14405342.0,14276261.0,14269657.0,27.0,18.0,5307687.0,5266027.0,190350.146666667,164019.045977012,11.3846654942,4487.2936720281,8.0,5134800.0,88376.3312883436,542759.355327069,4918057.0,6172020.0,7425983.0,1773371.48131377,4616530.0,4875665.0,5134800.0,366472.231484188,VPN-BROWSING
14867138.0,14867050.0,14816715.0,3.0,0.0,1363731.0,1420107.0,228723.846153846,155965.421052632,10.896515523,5652.6010587916,0.0,1363628.0,92342.4720496895,206692.569549154,4465117.0,5534133.5,6603150.0,1511817.63270029,1074748.0,1219188.0,1363628.0,204269.006946722,VPN-BROWSING
14604900.0,14255175.0,14604900.0,3.0,0.0,3363239.0,3124751.0,395977.083333333,184872.151898734,8.0110100035,4568.5352176324,0.0,3124751.0,125904.310344828,363197.379777872,1305781.0,2438990.0,3363964.0,866637.483607573,1010431.0,1621734.0,3124751.0,1012594.78839218,VPN-BROWSING
5010732.0,4945547.0,4985011.0,10.0,17.0,4240662.0,4302941.0,115012.720930233,97745.3137254902,19.1588773856,10994.2020447312,1.0,4240662.0,52744.5473684211,435434.545419353,4303088.0,4303088.0,4303088.0,0.0,4240662.0,4240662.0,4240662.0,0.0,VPN-BROWSING
14819231.0,14818522.0,14816730.0,42.0,18.0,1529979.0,1529677.0,114872.263565891,78812.3936170213,21.526083236,4270.8693858676,8.0,1529307.0,46601.355345912,163024.870942861,2277264.0,2851401.33333333,3704680.0,753537.671417185,1199673.0,1419117.66666667,1529307.0,190045.229839724,VPN-BROWSING
14830765.0,14830765.0,14589518.0,3.0,0.0,1764893.0,1762741.0,255702.844827586,189474.25974026,9.2375545024,5244.8407078125,0.0,1529357.0,109049.742647059,237911.919473246,2295342.0,3647189.5,4999037.0,1911801.0687599,1297278.0,1413317.5,1529357.0,164104.634667946,VPN-BROWSING
4153042.0,4153042.0,3936049.0,17.0,15.0,2503478.0,2774525.0,180567.043478261,123001.53125,13.7248792572,9788.7283586345,4.0,2503478.0,74161.4642857143,338639.484246728,3607941.0,3607941.0,3607941.0,0.0,2503478.0,2503478.0,2503478.0,0.0,VPN-BROWSING
8911911.0,8679252.0,8911911.0,173.0,0.0,1746348.0,1499922.0,299284.551724138,141458.904761905,10.5476816364,4861.471349972,0.0,1499922.0,95827.0,223784.90552598,7869089.0,7869089.0,7869089.0,0.0,1499922.0,1499922.0,1499922.0,0.0,VPN-BROWSING
